title,author,rating,image,author_link,description,no_of_ratings,published_year,genres
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.45,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673566654l/76706470._SY75_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,1685022,2014,[]
"Divergent (Divergent, #1)",Veronica Roth,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890l/13335037._SY75_.jpg,https://www.goodreads.com/author/show/4039811.Veronica_Roth,,4445497,2011,[]
"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,3.91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519072763l/37834723._SY75_.jpg,https://www.goodreads.com/author/show/4575289.Leigh_Bardugo,,1134153,2012,[]
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661026821l/13497._SY75_.jpg,https://www.goodreads.com/author/show/346732.George_R_R_Martin,,804451,2005,[]
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.66,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659905828l/7235533._SY75_.jpg,https://www.goodreads.com/author/show/38550.Brandon_Sanderson,,703870,2010,[]
The Night Circus (Hardcover),Erin Morgenstern,3.99,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387124618l/9361589._SY75_.jpg,https://www.goodreads.com/author/show/4370565.Erin_Morgenstern,,1122938,2011,[]
"Caraval (Caraval, #1)",Stephanie Garber,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465563623l/27883214._SY75_.jpg,https://www.goodreads.com/author/show/14137787.Stephanie_Garber,,937684,2016,[]
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,4.47,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598823299l/42844155._SX50_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,11646021,1997,[]
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725l/15881._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,4595281,1998,[]
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330l/5._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,4961682,1999,[]
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620324329l/50659467._SY75_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,4435792,2015,[]
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627042661l/58613224._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,4182841,2007,[]
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627045351l/58613451._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,3873237,2003,[]
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627043894l/58613345._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,3727588,2005,[]
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627044952l/58613424._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,4286744,2000,[]
"The Hobbit, or There and Back Again (Paperback)",J.R.R. Tolkien,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216l/5907._SY75_.jpg,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,,4556802,1937,[]
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673566495l/76703559._SY75_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,2579079,2012,[]
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.57,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1761312598l/61431922._SY75_.jpg,https://www.goodreads.com/author/show/7539785.Rebecca_Yarros,,3791462,2023,[]
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.63,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620325671l/50659468._SY75_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,3366144,2016,[]
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496._SY75_.jpg,https://www.goodreads.com/author/show/346732.George_R_R_Martin,,2782242,1996,[]
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684776677l/123675190._SX50_.jpg,https://www.goodreads.com/author/show/15872.Rick_Riordan,,3512773,2005,[]
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052._SX50_.jpg,https://www.goodreads.com/author/show/153394.Suzanne_Collins,,10130881,2008,[]
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.41,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654215925l/61215351._SY75_.jpg,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,,3206245,1954,[]
"Twilight (Twilight Saga, #1)",Stephenie Meyer,3.68,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700522826l/41865._SY75_.jpg,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,,7431342,2005,[]
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585623092l/50659472._SX50_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,2847931,2017,[]
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574535986l/26032825._SY75_.jpg,https://www.goodreads.com/author/show/25422.Holly_Black,,1813674,2018,[]
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,4.48,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617768316l/68428._SY75_.jpg,https://www.goodreads.com/author/show/38550.Brandon_Sanderson,,1038591,2006,[]
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530819367l/40727118._SY75_.jpg,https://www.goodreads.com/author/show/15872.Rick_Riordan,,1404124,2006,[]
"A Court of Frost and Starlight (A Court of Thorns and Roses, #4)",Sarah J. Maas,3.71,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585622963l/50659471._SX50_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,2256882,2018,[]
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355333381l/8130423._SY75_.jpg,https://www.goodreads.com/author/show/15872.Rick_Riordan,,1244515,2008,[]
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.45,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651710803l/23437156._SY75_.jpg,https://www.goodreads.com/author/show/4575289.Leigh_Bardugo,,1188999,2015,[]
Eragon (The Inheritance Cycle #1),Christopher Paolini,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852l/113436._SX50_.jpg,https://www.goodreads.com/author/show/8349.Christopher_Paolini,,1968104,2002,[]
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941l/6148028._SY75_.jpg,https://www.goodreads.com/author/show/153394.Suzanne_Collins,,4262828,2009,[]
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.06,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315l/256683._SY75_.jpg,https://www.goodreads.com/author/show/150038.Cassandra_Clare,,2197797,2007,[]
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704917687l/186074._SY75_.jpg,https://www.goodreads.com/author/show/108424.Patrick_Rothfuss,,1104776,2007,[]
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.51,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654216149l/61215372._SY75_.jpg,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,,1158851,1954,[]
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1697079942l/132080146._SY75_.jpg,https://www.goodreads.com/author/show/1069006.C_S_Lewis,,3197760,1950,[]
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038385l/561456._SY75_.jpg,https://www.goodreads.com/author/show/15872.Rick_Riordan,,1247925,2007,[]
"Iron Flame (The Empyrean, #2)",Rebecca Yarros,4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1706724269l/90202302._SY75_.jpg,https://www.goodreads.com/author/show/7539785.Rebecca_Yarros,,2776741,2023,[]
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1723393514l/4556058._SY75_.jpg,https://www.goodreads.com/author/show/15872.Rick_Riordan,,1175799,2009,[]
"A ​Court of Silver Flames (A Court of Thorns and Roses, #5)",Sarah J. Maas,4.45,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1734440950l/53138095._SY75_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,2208614,2021,[]
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918l/7260188._SY75_.jpg,https://www.goodreads.com/author/show/153394.Suzanne_Collins,,3813521,2010,[]
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673566594l/76705490._SY75_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,1897667,2013,[]
"Eclipse (Crepúsculo, #3)",Stephenie Meyer,3.74,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038355l/428263._SY75_.jpg,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,,2021531,2007,[]
"New Moon (Twilight Saga, #2)",Stephenie Meyer,3.62,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630592760l/49041._SX50_.jpg,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,,2160090,2006,[]
"Breaking Dawn (Twilight Saga, #4)",Stephenie Meyer,3.76,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039438l/1162543._SY75_.jpg,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,,1899588,2008,[]
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567840212l/10572._SY75_.jpg,https://www.goodreads.com/author/show/346732.George_R_R_Martin,,1038888,1998,[]
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.59,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654216226l/61215384._SY75_.jpg,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,,1070556,1955,[]
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,4.21,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1734440654l/52831200._SY75_.jpg,https://www.goodreads.com/author/show/4476934.Jennifer_L_Armentrout,,886337,2020,[]
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,4.45,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559142847l/44778083._SY75_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,1232730,2020,[]
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.45,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673566654l/76706470._SY75_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,1685022,2014,[]
"Divergent (Divergent, #1)",Veronica Roth,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890l/13335037._SY75_.jpg,https://www.goodreads.com/author/show/4039811.Veronica_Roth,,4445497,2011,[]
"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,3.91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519072763l/37834723._SY75_.jpg,https://www.goodreads.com/author/show/4575289.Leigh_Bardugo,,1134153,2012,[]
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661026821l/13497._SY75_.jpg,https://www.goodreads.com/author/show/346732.George_R_R_Martin,,804451,2005,[]
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.66,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659905828l/7235533._SY75_.jpg,https://www.goodreads.com/author/show/38550.Brandon_Sanderson,,703870,2010,[]
The Night Circus (Hardcover),Erin Morgenstern,3.99,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387124618l/9361589._SY75_.jpg,https://www.goodreads.com/author/show/4370565.Erin_Morgenstern,,1122938,2011,[]
"Caraval (Caraval, #1)",Stephanie Garber,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465563623l/27883214._SY75_.jpg,https://www.goodreads.com/author/show/14137787.Stephanie_Garber,,937684,2016,[]
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,4.47,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598823299l/42844155._SX50_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,11646021,1997,[]
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725l/15881._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,4595281,1998,[]
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330l/5._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,4961682,1999,[]
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620324329l/50659467._SY75_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,4435792,2015,[]
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627042661l/58613224._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,4182841,2007,[]
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627045351l/58613451._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,3873237,2003,[]
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627043894l/58613345._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,3727588,2005,[]
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627044952l/58613424._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,4286744,2000,[]
